,Fecha,Hora,Incidencia,TA030,TA031,FA032,TA007,TA008,TA009,TA011,TA012,TA013,TA015,TA016,TA017,TA019,PA020,PA021,CA022,FA023,VA025,SA026,DA027,IA028,TA029,posicion_ALBIASA,consigna_ALBIASA,posicion_EURO,consigna_EURO,posicion_URSSA,consigna_URSSA,TA046,TA048,EMPTY,EMPTY.1,TA050,EMPTY.2,EMPTY.3,PA052,PA053,TA054,FA056,TA058,TA060,TA066,ST087,WD088,ST072,TA074,TA076,TA078,TA080,TA082,WD089,EMPTY.4,EMPTY.5,FA065,TA062,TA069,TA086,TA068,FA090,FA106,Unnamed: 63,Seconds,TIME_DNI,TIME_Theta,TIME_Vwind,TIME_Tamb,TIME_Thtfsu,TIME_Thtfex,TIME_M_dot_htf,TIME_p_htf
0,01/07/2016,8:43:39,1.14828702147,30.918,31.115,0.001,79.664,79.628,0.0,41.719,30.04,51.142,61.54,53.285,23.026,26.182,10.864,10.693,0.0,0.055,3973.643,0.848,-90.0,490.761,296.361,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.033,0.0,0.0,29.162,0.0,0.0,11.8,3376.401,28.113,-0.01,0.058,47.98,30.82,3.819,21.0708333333,2.839,30.134,30.676,0.0,30.233,30.925,7.38279320988,0.0,0.0,0.014,28.379,29.047,35.794,35.604,0.008,0.052,,31419,"31419,490.761;","31419,1.14828702147;","31419,7.38279320988;","31419,296.361;","31419,47.98;","31419,30.82;","31419,0.001;","31419,11.8;"
1,01/07/2016,8:43:44,1.14819975501,30.901,31.115,0.001,79.655,79.62,0.0,41.706,30.031,51.123,61.775,53.304,23.046,26.168,10.863,10.691,0.0,0.056,3973.643,0.851,-90.0,490.984,296.37,0.0,0.0,-250.0,-250.0,0.0,0.0,-32.224,30.044,0.0,0.0,29.159,0.0,0.0,11.8,3376.602,28.114,-0.01,0.058,47.98,30.818,3.62,21.2330555556,2.728,30.131,30.683,0.0,30.239,30.925,7.98402777778,0.0,0.0,0.014,28.386,29.053,35.791,35.602,0.008,0.052,,31424,"31424,490.984;","31424,1.14819975501;","31424,7.98402777778;","31424,296.37;","31424,47.98;","31424,30.818;","31424,0.001;","31424,11.8;"
2,01/07/2016,8:43:49,1.14802522208,30.923,31.121,0.001,79.643,79.611,642.275,41.69,30.017,51.123,61.762,53.3,23.033,26.157,10.866,10.687,0.0,0.056,3973.643,0.851,-90.0,491.391,296.394,0.0,0.0,-250.0,-250.0,0.0,0.0,-31.164,30.04,0.0,0.0,29.162,0.0,0.0,11.8,3376.199,28.126,-0.01,0.058,47.986,30.821,3.094,18.5144444444,1.939,30.129,30.684,0.0,30.245,30.932,7.64197530864,0.0,0.0,0.014,28.399,29.066,35.792,35.601,0.008,0.052,,31429,"31429,491.391;","31429,1.14802522208;","31429,7.64197530864;","31429,296.394;","31429,47.986;","31429,30.821;","31429,0.001;","31429,11.8;"
3,01/07/2016,8:43:54,1.14792050233,30.9,31.11,0.001,79.648,79.614,196.302,41.68,30.003,51.129,61.746,53.295,23.017,26.176,10.861,10.689,0.0,0.056,3973.643,0.85,-90.0,491.243,296.369,0.0,0.0,-250.0,-250.0,0.0,0.0,-31.446,30.032,0.0,0.0,29.169,0.0,0.0,11.8,3376.401,28.126,-0.01,84.949,47.983,30.817,2.141,17.9822222222,2.601,30.13,30.674,0.0,30.242,30.929,7.59660493827,0.0,0.0,0.014,28.401,29.072,35.785,35.598,0.008,0.052,,31434,"31434,491.243;","31434,1.14792050233;","31434,7.59660493827;","31434,296.369;","31434,47.983;","31434,30.817;","31434,0.001;","31434,11.8;"
4,01/07/2016,8:43:59,1.14781578257,30.904,31.121,0.001,79.651,79.615,211.323,41.698,30.018,51.107,61.608,53.281,23.047,26.186,10.863,10.688,0.0,0.056,3973.643,0.849,-90.0,491.033,296.403,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.042,0.0,0.0,29.176,0.0,0.0,11.8,3376.401,28.132,-0.01,0.058,47.989,30.823,2.921,19.5147222222,0.256,30.131,30.685,0.0,30.248,30.922,5.49027777778,0.0,0.0,0.015,28.415,29.08,35.787,35.605,0.008,0.052,,31439,"31439,491.033;","31439,1.14781578257;","31439,5.49027777778;","31439,296.403;","31439,47.989;","31439,30.823;","31439,0.001;","31439,11.8;"
5,01/07/2016,8:44:04,1.14772851611,30.927,31.12,0.001,79.64,79.614,239.083,41.666,30.008,51.106,61.73,53.279,23.044,26.183,10.863,10.691,0.0,0.056,3973.643,0.851,-90.0,491.256,296.39,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.046,0.0,0.0,29.169,0.0,0.0,11.798,3376.401,28.136,-0.01,169.564,47.989,30.817,3.591,19.8041666667,-0.153,30.127,30.681,0.0,30.248,30.932,6.9861882716,0.0,0.0,0.015,28.421,29.088,35.785,35.604,0.008,0.052,,31444,"31444,491.256;","31444,1.14772851611;","31444,6.9861882716;","31444,296.39;","31444,47.989;","31444,30.817;","31444,0.001;","31444,11.798;"
6,01/07/2016,8:44:09,1.14764124965,30.909,31.126,0.001,79.643,79.613,0.0,41.679,30.021,51.11,61.481,53.254,23.041,26.227,10.86,10.686,0.0,0.056,3973.643,0.852,-90.0,491.873,296.408,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.057,0.0,0.0,29.178,0.0,0.0,11.798,3376.602,28.139,-0.01,68.898,47.995,30.817,4.881,23.1511111111,-0.153,30.131,30.676,0.0,30.245,30.938,7.27777777778,0.0,0.0,0.014,28.431,29.095,35.784,35.604,0.008,0.052,,31449,"31449,491.873;","31449,1.14764124965;","31449,7.27777777778;","31449,296.408;","31449,47.995;","31449,30.817;","31449,0.001;","31449,11.798;"
7,01/07/2016,8:44:14,1.14748417002,30.902,31.117,0.001,79.642,79.604,141.511,41.663,29.982,51.094,61.634,53.262,23.044,26.219,10.862,10.693,0.0,0.056,3973.643,0.85,-90.0,492.156,296.409,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.061,0.0,0.0,29.181,0.0,0.0,11.798,3376.808,28.141,-0.01,0.058,47.992,30.817,5.606,27.3519444444,-0.152,30.14,30.679,0.0,30.246,30.934,7.40655864198,0.0,0.0,0.014,28.441,29.107,35.787,35.607,0.008,0.052,,31454,"31454,492.156;","31454,1.14748417002;","31454,7.40655864198;","31454,296.409;","31454,47.992;","31454,30.817;","31454,0.001;","31454,11.798;"
8,01/07/2016,8:44:19,1.14737945026,30.923,31.125,0.001,79.646,79.612,0.0,41.669,29.992,51.084,61.668,53.258,23.073,26.208,10.86,10.692,0.0,0.056,3973.643,0.852,-90.0,492.873,296.425,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.044,0.0,0.0,29.175,0.0,0.0,11.798,3376.602,28.148,-0.01,0.058,48.002,30.827,5.494,25.5536111111,-0.153,30.134,30.686,0.0,30.242,30.936,7.86875,0.0,0.0,0.014,28.45,29.111,35.785,35.605,0.008,0.052,,31459,"31459,492.873;","31459,1.14737945026;","31459,7.86875;","31459,296.425;","31459,48.002;","31459,30.827;","31459,0.001;","31459,11.798;"
9,01/07/2016,8:44:24,1.14730963709,30.884,31.11,0.001,79.641,79.602,360.559,41.65,29.997,51.094,61.555,53.234,23.065,26.239,10.866,10.689,0.0,0.056,3973.643,0.851,-90.0,493.269,296.431,0.0,0.0,-250.0,-250.0,0.0,0.0,-30.899,30.063,0.0,0.0,29.175,0.0,0.0,11.798,3375.998,28.145,-0.01,0.058,47.999,30.823,5.361,28.6069444444,-0.153,30.131,30.684,0.0,30.262,30.934,8.51782407407,0.0,0.0,0.015,28.456,29.121,35.791,35.609,0.008,0.051,,31464,"31464,493.269;","31464,1.14730963709;","31464,8.51782407407;","31464,296.431;","31464,47.999;","31464,30.823;","31464,0.001;","31464,11.798;"
10,01/07/2016,8:44:29,1.14720491734,30.911,31.123,0.001,79.634,79.603,0.0,41.652,30.023,51.097,61.472,53.236,23.054,26.25,10.858,10.689,0.0,0.056,3973.643,0.851,-90.0,494.12,296.426,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.056,0.0,0.0,29.188,0.0,0.0,11.799,3376.808,28.154,-0.011,0.058,48.0,30.817,5.29,29.6813888889,-0.156,30.121,30.683,0.0,30.25,30.932,8.71412037037,0.0,0.0,0.014,28.466,29.13,35.791,35.611,0.008,0.052,,31469,"31469,494.12;","31469,1.14720491734;","31469,8.71412037037;","31469,296.426;","31469,48.0;","31469,30.817;","31469,0.001;","31469,11.799;"
11,01/07/2016,8:44:34,1.14703038441,30.9,31.121,0.001,79.647,79.605,467.733,41.647,29.999,51.087,61.647,53.242,23.076,26.243,10.865,10.695,0.0,0.056,3973.643,0.851,-90.0,495.677,296.435,0.0,0.0,-250.0,-250.0,0.0,0.0,-31.902,30.085,0.0,0.0,29.184,0.0,0.0,11.798,3376.401,28.145,-0.01,0.058,48.005,30.832,5.134,27.1066666667,-0.154,30.131,30.687,0.0,30.249,30.938,8.58726851852,0.0,0.0,0.015,28.471,29.144,35.788,35.61,0.008,0.051,,31474,"31474,495.677;","31474,1.14703038441;","31474,8.58726851852;","31474,296.435;","31474,48.005;","31474,30.832;","31474,0.001;","31474,11.798;"
12,01/07/2016,8:44:39,1.14694311795,30.891,31.132,0.001,79.638,79.607,0.0,41.657,29.994,51.084,61.524,53.232,23.088,26.24,10.86,10.695,0.0,0.055,3973.643,0.85,-90.0,497.26,296.428,0.0,0.0,-250.0,-250.0,0.0,0.0,-31.342,30.078,0.0,0.0,29.192,0.0,0.0,11.799,3376.401,28.154,-0.011,0.058,48.006,30.82,5.31,26.9144444444,-0.154,30.143,30.687,0.0,30.255,30.931,8.49652777778,0.0,0.0,0.014,28.485,29.153,35.794,35.606,0.008,0.052,,31479,"31479,497.26;","31479,1.14694311795;","31479,8.49652777778;","31479,296.428;","31479,48.006;","31479,30.82;","31479,0.001;","31479,11.799;"
13,01/07/2016,8:44:44,1.14687330478,30.907,31.124,0.001,79.652,79.61,357.256,41.634,30.019,51.092,61.501,53.228,23.076,26.275,10.864,10.689,0.0,0.056,3973.643,0.851,-90.0,498.68,296.432,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.061,0.0,0.0,29.197,0.0,0.0,11.798,3376.401,28.158,-0.01,122.43,48.011,30.823,5.32,26.5766666667,-0.153,30.14,30.686,0.0,30.252,30.938,8.4674382716,0.0,0.0,0.014,28.488,29.156,35.791,35.612,0.008,0.052,,31484,"31484,498.68;","31484,1.14687330478;","31484,8.4674382716;","31484,296.432;","31484,48.011;","31484,30.823;","31484,0.001;","31484,11.798;"
14,01/07/2016,8:44:49,1.14678603832,30.875,31.127,0.001,79.64,79.616,453.966,41.648,30.039,51.076,61.75,53.25,23.09,26.282,10.863,10.688,0.0,0.056,3973.643,0.852,-90.0,499.507,296.437,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.067,0.0,0.0,29.201,0.0,0.0,11.798,3376.602,28.167,-0.01,101.307,48.012,30.821,4.717,25.8894444444,-0.153,30.134,30.687,0.0,30.252,30.941,8.00270061728,0.0,0.0,0.015,28.497,29.168,35.799,35.612,0.008,0.052,,31489,"31489,499.507;","31489,1.14678603832;","31489,8.00270061728;","31489,296.437;","31489,48.012;","31489,30.821;","31489,0.001;","31489,11.798;"
15,01/07/2016,8:44:54,1.1465940521,30.911,31.121,0.002,79.65,79.614,182.76,41.635,30.02,51.067,61.688,53.231,23.126,26.266,10.861,10.689,0.0,0.056,3973.643,0.849,-90.0,499.311,296.448,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.083,0.0,0.0,29.2,0.0,0.0,11.798,3376.602,28.157,-0.01,0.058,48.014,30.826,5.3,27.645,0.84,30.137,30.681,0.0,30.248,30.942,7.12546296296,0.0,0.0,0.014,28.504,29.185,35.797,35.618,0.008,0.052,,31494,"31494,499.311;","31494,1.1465940521;","31494,7.12546296296;","31494,296.448;","31494,48.014;","31494,30.826;","31494,0.002;","31494,11.798;"
16,01/07/2016,8:44:59,1.14650678564,30.888,31.131,0.001,79.648,79.61,390.241,41.629,29.991,51.066,61.511,53.213,23.107,26.267,10.862,10.69,0.0,0.056,3973.643,0.851,-90.0,499.384,296.459,0.0,0.0,-250.0,-250.0,0.0,0.0,-0.042,30.079,0.0,0.0,29.205,0.0,0.0,11.798,3376.602,28.171,-0.01,0.058,48.015,30.821,5.908,27.3247222222,5.146,30.138,30.693,0.0,30.252,30.938,7.44266975309,0.0,0.0,0.015,28.514,29.179,35.8,35.614,0.008,0.051,,31499,"31499,499.384;","31499,1.14650678564;","31499,7.44266975309;","31499,296.459;","31499,48.015;","31499,30.821;","31499,0.001;","31499,11.798;"
