Fecha	Hora	Incidencia	TA030	TA031	FA032	TA007	TA008	TA009	TA011	TA012	TA013	TA015	TA016	TA017	TA019	PA020	PA021	CA022	FA023	VA025	SA026	DA027	IA028	TA029	posicion_ALBIASA	consigna_ALBIASA	posicion_EURO	consigna_EURO	posicion_URSSA	consigna_URSSA	TA046	TA048	EMPTY	EMPTY	TA050	EMPTY	EMPTY	PA052	PA053	TA054	FA056	TA058	TA060	TA066	ST087	WD088	ST072	TA074	TA076	TA078	TA080	TA082	WD089	EMPTY	EMPTY	FA065	TA062	TA069	TA086	TA068	FA090	FA106	
27/06/2016	0:00:06	26,189	27,185	25,726	0,001	29,959	30,490	0,000	27,509	26,195	26,656	29,126	25,961	23,352	21,875	9,126	8,953	0,000	0,053	24,954	0,885	-90,000	-0,507	18,622	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,176	0,000	0,000	51,351	0,000	0,000	10,083	3375,998	46,122	-0,011	0,058	48,677	49,200	8,750	101,287	12,570	48,457	49,084	0,000	55,803	56,914	112,841	0,000	0,000	0,014	28,228	30,054	54,437	55,151	0,005	0,053
27/06/2016	0:00:11	26,189	27,178	25,711	0,001	29,968	30,516	0,000	27,486	26,183	26,663	29,054	25,923	23,278	21,958	9,126	8,953	0,000	0,054	24,954	0,884	-90,000	-0,457	18,628	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,163	0,000	0,000	51,351	0,000	0,000	10,084	3375,998	46,122	-0,011	0,058	48,673	49,194	8,440	93,352	11,336	48,445	49,079	0,000	55,797	56,901	133,707	0,000	0,000	0,014	28,229	30,048	54,425	55,132	0,005	0,054
27/06/2016	0:00:16	26,189	27,182	25,713	0,001	29,938	30,471	378,678	27,498	26,190	26,653	29,105	25,952	23,271	21,835	9,129	8,951	0,000	0,053	24,954	0,884	-90,000	-0,432	18,637	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,148	0,000	0,000	51,336	0,000	0,000	10,084	3376,401	46,118	-0,011	0,058	48,657	49,191	6,601	115,860	10,275	48,436	49,070	0,000	55,795	56,905	128,910	0,000	0,000	0,014	28,217	30,048	54,406	55,123	0,004	0,053
27/06/2016	0:00:21	26,189	27,185	25,711	0,001	29,953	30,495	319,708	27,484	26,176	26,619	29,113	25,951	23,332	21,862	9,126	8,953	0,000	0,053	24,954	0,884	-90,000	-0,556	18,625	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,156	0,000	0,000	51,330	0,000	0,000	10,083	3375,998	46,117	-0,011	0,058	48,647	49,176	6,910	92,542	13,756	48,431	49,059	0,000	55,787	56,885	137,393	0,000	0,000	0,013	28,212	30,044	54,392	55,109	0,005	0,053
27/06/2016	0:00:26	26,268	27,189	25,710	0,001	29,935	30,470	529,879	27,520	26,166	26,595	29,074	25,931	23,376	21,876	9,125	8,952	0,000	0,053	24,954	0,883	-90,000	-0,445	18,642	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,126	0,000	0,000	51,329	0,000	0,000	10,084	3376,401	46,095	-0,011	0,058	48,652	49,178	7,578	96,082	12,694	48,439	49,053	0,000	55,773	56,886	110,661	0,000	0,000	0,013	28,212	30,039	54,373	55,090	0,005	0,053
27/06/2016	0:00:31	26,268	27,175	25,716	0,001	29,953	30,495	0,000	27,507	26,175	26,640	29,071	25,941	23,104	21,886	9,128	8,953	0,000	0,054	24,954	0,882	-90,000	-0,432	18,625	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,131	0,000	0,000	51,326	0,000	0,000	10,084	3375,998	46,099	-0,011	0,058	48,658	49,162	10,821	101,140	10,806	48,423	49,046	0,000	55,773	56,871	100,683	0,000	0,000	0,014	28,217	30,031	54,361	55,084	0,004	0,053
27/06/2016	0:00:36	26,268	27,180	25,706	0,001	29,969	30,501	292,050	27,504	26,183	26,650	29,073	25,939	23,172	21,901	9,127	8,953	0,000	0,053	24,954	0,883	-90,000	-0,544	18,612	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,121	0,000	0,000	51,315	0,000	0,000	10,083	3376,401	46,073	-0,011	0,058	48,641	49,163	10,743	109,746	12,655	48,423	49,047	0,000	55,756	56,859	129,827	0,000	0,000	0,013	28,202	30,022	54,347	55,058	0,005	0,053
27/06/2016	0:00:41	26,268	27,186	25,705	0,001	29,957	30,469	174,296	27,525	26,176	26,654	29,086	25,943	22,921	21,871	9,127	8,953	0,000	0,053	24,954	0,885	-90,000	-0,469	18,616	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,125	0,000	0,000	51,307	0,000	0,000	10,083	3376,602	46,070	-0,011	0,058	48,630	49,150	9,376	107,681	12,104	48,406	49,044	0,000	55,767	56,865	133,156	0,000	0,000	0,014	28,196	30,022	54,322	55,055	0,005	0,053
27/06/2016	0:00:46	26,268	27,198	25,710	0,001	29,972	30,514	235,514	27,460	26,169	26,641	29,013	25,905	23,040	21,928	9,126	8,954	0,000	0,053	24,954	0,883	-90,000	-0,469	18,613	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,113	0,000	0,000	51,300	0,000	0,000	10,083	3375,797	46,073	-0,011	0,058	48,627	49,147	8,524	101,345	12,301	48,407	49,032	0,000	55,751	56,852	136,121	0,000	0,000	0,014	28,195	30,016	54,305	55,040	0,005	0,053
27/06/2016	0:00:51	26,268	27,171	25,699	0,001	29,966	30,480	282,741	27,503	26,174	26,658	29,083	25,941	23,140	21,890	9,125	8,954	0,001	0,054	24,954	0,884	-90,000	-0,482	18,633	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,102	0,000	0,000	51,303	0,000	0,000	10,083	3375,998	46,082	-0,011	0,058	48,623	49,144	6,923	112,067	13,374	48,394	49,027	0,000	55,746	56,859	121,452	0,000	0,000	0,014	28,195	30,013	54,290	55,022	0,004	0,054
27/06/2016	0:00:56	26,505	27,172	25,703	0,001	29,976	30,509	0,000	27,483	26,177	26,680	29,061	25,933	22,956	21,924	9,126	8,953	0,000	0,053	24,954	0,884	-90,000	-0,519	18,619	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,084	0,000	0,000	51,294	0,000	0,000	10,083	3376,401	46,092	-0,010	0,058	48,611	49,131	11,423	109,281	12,110	48,388	49,005	0,000	55,741	56,836	144,486	0,000	0,000	0,013	28,189	30,008	54,274	55,002	0,004	0,054
27/06/2016	0:01:01	26,505	27,182	25,710	0,001	29,947	30,483	174,171	27,497	26,155	26,580	29,050	25,908	23,233	21,863	9,126	8,953	0,000	0,054	24,954	0,885	-90,000	-0,432	18,625	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,099	0,000	0,000	51,281	0,000	0,000	10,082	3376,401	46,076	-0,011	0,058	48,599	49,127	12,043	92,198	8,816	48,375	48,998	0,000	55,728	56,837	137,399	0,000	0,000	0,014	28,165	30,001	54,255	54,994	0,004	0,054
27/06/2016	0:01:06	26,505	27,152	25,698	0,001	29,973	30,504	0,000	27,477	26,172	26,665	29,028	25,912	22,903	21,951	9,126	8,952	0,000	0,053	24,954	0,884	-90,000	-0,469	18,621	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,083	0,000	0,000	51,280	0,000	0,000	10,082	3376,401	46,076	-0,011	0,058	48,602	49,120	8,550	82,244	9,175	48,376	48,996	0,000	55,731	56,831	115,516	0,000	0,000	0,014	28,172	30,000	54,236	54,978	0,005	0,053
27/06/2016	0:01:11	26,505	27,160	25,701	0,001	29,958	30,475	303,407	27,491	26,170	26,644	29,079	25,939	23,031	21,868	9,126	8,951	0,000	0,054	24,954	0,885	-90,000	-0,469	18,612	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,076	0,000	0,000	51,264	0,000	0,000	10,082	3376,199	46,070	-0,011	0,058	48,587	49,114	5,271	110,878	9,933	48,359	48,989	0,000	55,715	56,817	116,763	0,000	0,000	0,014	28,164	29,991	54,219	54,965	0,004	0,053
27/06/2016	0:01:16	26,505	27,168	25,701	0,001	29,948	30,488	106,153	27,494	26,152	26,568	29,005	25,887	23,264	21,923	9,125	8,951	0,000	0,053	24,954	0,885	-90,000	-0,420	18,621	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,057	0,000	0,000	51,262	0,000	0,000	10,083	3375,998	46,053	-0,011	0,058	48,591	49,108	6,486	108,120	8,033	48,356	48,977	0,000	55,711	56,821	120,131	0,000	0,000	0,014	28,168	29,981	54,209	54,949	0,004	0,053
27/06/2016	0:01:21	26,505	27,147	25,699	0,001	29,958	30,493	0,000	27,501	26,148	26,592	29,008	25,908	23,062	21,918	9,125	8,952	0,000	0,053	24,954	0,886	-90,000	-0,383	18,623	0,000	0,000	-250,000	-250,000	-171,400	-169,876	-0,042	52,040	0,000	0,000	51,249	0,000	0,000	10,082	3376,199	46,051	-0,011	0,058	48,576	49,091	7,800	97,412	7,744	48,342	48,983	0,000	55,711	56,804	135,956	0,000	0,000	0,014	28,163	29,977	54,199	54,940	0,005	0,053
