Fecha	Hora	Incidencia	TA030	TA031	FA032	TA007	TA008	TA009	TA011	TA012	TA013	TA015	TA016	TA017	TA019	PA020	PA021	CA022	FA023	VA025	SA026	DA027	IA028	TA029	posicion_ALBIASA	consigna_ALBIASA	posicion_EURO	consigna_EURO	posicion_URSSA	consigna_URSSA	TA046	TA048	EMPTY	EMPTY	TA050	EMPTY	EMPTY	PA052	PA053	TA054	FA056	TA058	TA060	TA066	ST087	WD088	ST072	TA074	TA076	TA078	TA080	TA082	WD089	EMPTY	EMPTY	FA065	TA062	TA069	TA086	TA068	FA090	FA106	
01/07/2016	8:43:39	65,792	30,918	31,115	0,001	79,664	79,628	0,000	41,719	30,040	51,142	61,540	53,285	23,026	26,182	10,864	10,693	0,000	0,055	3973,643	0,848	-90,000	490,761	23,211	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,033	0,000	0,000	29,162	0,000	0,000	11,800	3376,401	28,113	-0,010	0,058	47,980	30,820	3,819	75,855	2,839	30,134	30,676	0,000	30,233	30,925	95,681	0,000	0,000	0,014	28,379	29,047	35,794	35,604	0,008	0,052
01/07/2016	8:43:44	65,787	30,901	31,115	0,001	79,655	79,620	0,000	41,706	30,031	51,123	61,775	53,304	23,046	26,168	10,863	10,691	0,000	0,056	3973,643	0,851	-90,000	490,984	23,220	0,000	0,000	-250,000	-250,000	0,000	0,000	-32,224	30,044	0,000	0,000	29,159	0,000	0,000	11,800	3376,602	28,114	-0,010	0,058	47,980	30,818	3,620	76,439	2,728	30,131	30,683	0,000	30,239	30,925	103,473	0,000	0,000	0,014	28,386	29,053	35,791	35,602	0,008	0,052
01/07/2016	8:43:49	65,777	30,923	31,121	0,001	79,643	79,611	642,275	41,690	30,017	51,123	61,762	53,300	23,033	26,157	10,866	10,687	0,000	0,056	3973,643	0,851	-90,000	491,391	23,244	0,000	0,000	-250,000	-250,000	0,000	0,000	-31,164	30,040	0,000	0,000	29,162	0,000	0,000	11,800	3376,199	28,126	-0,010	0,058	47,986	30,821	3,094	66,652	1,939	30,129	30,684	0,000	30,245	30,932	99,040	0,000	0,000	0,014	28,399	29,066	35,792	35,601	0,008	0,052
01/07/2016	8:43:54	65,771	30,900	31,110	0,001	79,648	79,614	196,302	41,680	30,003	51,129	61,746	53,295	23,017	26,176	10,861	10,689	0,000	0,056	3973,643	0,850	-90,000	491,243	23,219	0,000	0,000	-250,000	-250,000	0,000	0,000	-31,446	30,032	0,000	0,000	29,169	0,000	0,000	11,800	3376,401	28,126	-0,010	84,949	47,983	30,817	2,141	64,736	2,601	30,130	30,674	0,000	30,242	30,929	98,452	0,000	0,000	0,014	28,401	29,072	35,785	35,598	0,008	0,052
01/07/2016	8:43:59	65,765	30,904	31,121	0,001	79,651	79,615	211,323	41,698	30,018	51,107	61,608	53,281	23,047	26,186	10,863	10,688	0,000	0,056	3973,643	0,849	-90,000	491,033	23,253	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,042	0,000	0,000	29,176	0,000	0,000	11,800	3376,401	28,132	-0,010	0,058	47,989	30,823	2,921	70,253	0,256	30,131	30,685	0,000	30,248	30,922	71,154	0,000	0,000	0,015	28,415	29,080	35,787	35,605	0,008	0,052
01/07/2016	8:44:04	65,760	30,927	31,120	0,001	79,640	79,614	239,083	41,666	30,008	51,106	61,730	53,279	23,044	26,183	10,863	10,691	0,000	0,056	3973,643	0,851	-90,000	491,256	23,240	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,046	0,000	0,000	29,169	0,000	0,000	11,798	3376,401	28,136	-0,010	169,564	47,989	30,817	3,591	71,295	-0,153	30,127	30,681	0,000	30,248	30,932	90,541	0,000	0,000	0,015	28,421	29,088	35,785	35,604	0,008	0,052
01/07/2016	8:44:09	65,755	30,909	31,126	0,001	79,643	79,613	0,000	41,679	30,021	51,110	61,481	53,254	23,041	26,227	10,860	10,686	0,000	0,056	3973,643	0,852	-90,000	491,873	23,258	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,057	0,000	0,000	29,178	0,000	0,000	11,798	3376,602	28,139	-0,010	68,898	47,995	30,817	4,881	83,344	-0,153	30,131	30,676	0,000	30,245	30,938	94,320	0,000	0,000	0,014	28,431	29,095	35,784	35,604	0,008	0,052
01/07/2016	8:44:14	65,746	30,902	31,117	0,001	79,642	79,604	141,511	41,663	29,982	51,094	61,634	53,262	23,044	26,219	10,862	10,693	0,000	0,056	3973,643	0,850	-90,000	492,156	23,259	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,061	0,000	0,000	29,181	0,000	0,000	11,798	3376,808	28,141	-0,010	0,058	47,992	30,817	5,606	98,467	-0,152	30,140	30,679	0,000	30,246	30,934	95,989	0,000	0,000	0,014	28,441	29,107	35,787	35,607	0,008	0,052
01/07/2016	8:44:19	65,740	30,923	31,125	0,001	79,646	79,612	0,000	41,669	29,992	51,084	61,668	53,258	23,073	26,208	10,860	10,692	0,000	0,056	3973,643	0,852	-90,000	492,873	23,275	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,044	0,000	0,000	29,175	0,000	0,000	11,798	3376,602	28,148	-0,010	0,058	48,002	30,827	5,494	91,993	-0,153	30,134	30,686	0,000	30,242	30,936	101,979	0,000	0,000	0,014	28,450	29,111	35,785	35,605	0,008	0,052
01/07/2016	8:44:24	65,736	30,884	31,110	0,001	79,641	79,602	360,559	41,650	29,997	51,094	61,555	53,234	23,065	26,239	10,866	10,689	0,000	0,056	3973,643	0,851	-90,000	493,269	23,281	0,000	0,000	-250,000	-250,000	0,000	0,000	-30,899	30,063	0,000	0,000	29,175	0,000	0,000	11,798	3375,998	28,145	-0,010	0,058	47,999	30,823	5,361	102,985	-0,153	30,131	30,684	0,000	30,262	30,934	110,391	0,000	0,000	0,015	28,456	29,121	35,791	35,609	0,008	0,051
01/07/2016	8:44:29	65,730	30,911	31,123	0,001	79,634	79,603	0,000	41,652	30,023	51,097	61,472	53,236	23,054	26,250	10,858	10,689	0,000	0,056	3973,643	0,851	-90,000	494,120	23,276	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,056	0,000	0,000	29,188	0,000	0,000	11,799	3376,808	28,154	-0,011	0,058	48,000	30,817	5,290	106,853	-0,156	30,121	30,683	0,000	30,250	30,932	112,935	0,000	0,000	0,014	28,466	29,130	35,791	35,611	0,008	0,052
01/07/2016	8:44:34	65,720	30,900	31,121	0,001	79,647	79,605	467,733	41,647	29,999	51,087	61,647	53,242	23,076	26,243	10,865	10,695	0,000	0,056	3973,643	0,851	-90,000	495,677	23,285	0,000	0,000	-250,000	-250,000	0,000	0,000	-31,902	30,085	0,000	0,000	29,184	0,000	0,000	11,798	3376,401	28,145	-0,010	0,058	48,005	30,832	5,134	97,584	-0,154	30,131	30,687	0,000	30,249	30,938	111,291	0,000	0,000	0,015	28,471	29,144	35,788	35,610	0,008	0,051
01/07/2016	8:44:39	65,715	30,891	31,132	0,001	79,638	79,607	0,000	41,657	29,994	51,084	61,524	53,232	23,088	26,240	10,860	10,695	0,000	0,055	3973,643	0,850	-90,000	497,260	23,278	0,000	0,000	-250,000	-250,000	0,000	0,000	-31,342	30,078	0,000	0,000	29,192	0,000	0,000	11,799	3376,401	28,154	-0,011	0,058	48,006	30,820	5,310	96,892	-0,154	30,143	30,687	0,000	30,255	30,931	110,115	0,000	0,000	0,014	28,485	29,153	35,794	35,606	0,008	0,052
01/07/2016	8:44:44	65,711	30,907	31,124	0,001	79,652	79,610	357,256	41,634	30,019	51,092	61,501	53,228	23,076	26,275	10,864	10,689	0,000	0,056	3973,643	0,851	-90,000	498,680	23,282	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,061	0,000	0,000	29,197	0,000	0,000	11,798	3376,401	28,158	-0,010	122,430	48,011	30,823	5,320	95,676	-0,153	30,140	30,686	0,000	30,252	30,938	109,738	0,000	0,000	0,014	28,488	29,156	35,791	35,612	0,008	0,052
01/07/2016	8:44:49	65,706	30,875	31,127	0,001	79,640	79,616	453,966	41,648	30,039	51,076	61,750	53,250	23,090	26,282	10,863	10,688	0,000	0,056	3973,643	0,852	-90,000	499,507	23,287	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,067	0,000	0,000	29,201	0,000	0,000	11,798	3376,602	28,167	-0,010	101,307	48,012	30,821	4,717	93,202	-0,153	30,134	30,687	0,000	30,252	30,941	103,715	0,000	0,000	0,015	28,497	29,168	35,799	35,612	0,008	0,052
01/07/2016	8:44:54	65,695	30,911	31,121	0,002	79,650	79,614	182,760	41,635	30,020	51,067	61,688	53,231	23,126	26,266	10,861	10,689	0,000	0,056	3973,643	0,849	-90,000	499,311	23,298	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,083	0,000	0,000	29,200	0,000	0,000	11,798	3376,602	28,157	-0,010	0,058	48,014	30,826	5,300	99,522	0,840	30,137	30,681	0,000	30,248	30,942	92,346	0,000	0,000	0,014	28,504	29,185	35,797	35,618	0,008	0,052
01/07/2016	8:44:59	65,690	30,888	31,131	0,001	79,648	79,610	390,241	41,629	29,991	51,066	61,511	53,213	23,107	26,267	10,862	10,690	0,000	0,056	3973,643	0,851	-90,000	499,384	23,309	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,079	0,000	0,000	29,205	0,000	0,000	11,798	3376,602	28,171	-0,010	0,058	48,015	30,821	5,908	98,369	5,146	30,138	30,693	0,000	30,252	30,938	96,457	0,000	0,000	0,015	28,514	29,179	35,800	35,614	0,008	0,051
01/07/2016	8:45:04	65,683	30,904	31,137	0,001	79,649	79,616	451,840	41,618	29,968	51,065	61,642	53,220	23,083	26,254	10,861	10,689	0,000	0,056	3973,643	0,852	-90,000	498,964	23,329	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,077	0,000	0,000	29,199	0,000	0,000	11,798	3376,401	28,174	-0,010	220,866	48,021	30,826	4,943	95,511	5,857	30,133	30,683	0,000	30,255	30,941	102,820	0,000	0,000	0,015	28,524	29,190	35,803	35,615	0,008	0,051
01/07/2016	8:45:09	65,679	30,903	31,137	0,001	79,650	79,617	0,000	41,615	30,010	51,044	61,784	53,224	23,150	26,247	10,862	10,692	0,000	0,056	3973,643	0,851	-90,000	498,260	23,321	0,000	0,000	-250,000	-250,000	0,000	0,000	-0,042	30,087	0,000	0,000	29,204	0,000	0,000	11,798	3376,602	26,711	-0,010	0,058	48,022	30,827	4,021	87,105	5,527	30,134	30,712	0,000	30,258	30,941	119,117	0,000	0,000	0,014	28,540	29,200	35,803	35,617	0,008	0,052
